"address","famsize","Pstatus","Mjob","Fjob","reason","guardian","high_use"
"U","GT3","A","at_home","teacher","course","mother",FALSE
"U","GT3","T","at_home","other","course","father",FALSE
"U","LE3","T","at_home","other","other","mother",TRUE
"U","GT3","T","health","services","home","mother",FALSE
"U","GT3","T","other","other","home","father",FALSE
"U","LE3","T","services","other","reputation","mother",FALSE
"U","LE3","T","other","other","home","mother",FALSE
"U","GT3","A","other","teacher","home","mother",FALSE
"U","LE3","A","services","other","home","mother",FALSE
"U","GT3","T","other","other","home","mother",FALSE
"U","GT3","T","teacher","health","reputation","mother",FALSE
"U","GT3","T","services","other","reputation","father",FALSE
"U","LE3","T","health","services","course","father",FALSE
"U","GT3","T","teacher","other","course","mother",FALSE
"U","GT3","A","other","other","home","other",FALSE
"U","GT3","T","health","other","home","mother",FALSE
"U","GT3","T","services","services","reputation","mother",FALSE
"U","GT3","T","other","other","reputation","mother",FALSE
"U","GT3","T","services","services","course","mother",TRUE
"U","LE3","T","health","other","home","father",FALSE
"U","GT3","T","teacher","other","reputation","mother",FALSE
"U","GT3","T","health","health","other","father",FALSE
"U","LE3","T","teacher","other","course","mother",FALSE
"U","LE3","T","other","other","reputation","mother",TRUE
"R","GT3","T","services","health","course","mother",FALSE
"U","GT3","T","services","services","home","mother",FALSE
"U","GT3","T","other","other","home","mother",FALSE
"U","GT3","T","health","services","other","mother",TRUE
"U","LE3","A","services","other","home","mother",FALSE
"U","GT3","T","teacher","teacher","home","mother",TRUE
"U","GT3","T","health","services","home","mother",TRUE
"U","GT3","T","services","services","reputation","mother",FALSE
"R","GT3","T","teacher","at_home","course","mother",FALSE
"U","LE3","T","other","other","course","mother",FALSE
"U","GT3","T","other","other","home","mother",FALSE
"U","GT3","T","other","other","other","father",FALSE
"U","LE3","T","teacher","services","home","mother",FALSE
"R","GT3","A","other","teacher","reputation","mother",FALSE
"R","GT3","T","services","health","course","mother",FALSE
"R","GT3","T","at_home","other","reputation","mother",FALSE
"U","LE3","T","other","other","home","mother",FALSE
"U","LE3","T","teacher","other","home","other",TRUE
"U","GT3","T","services","teacher","course","father",FALSE
"U","GT3","T","services","services","course","father",FALSE
"U","LE3","T","other","at_home","course","father",FALSE
"U","LE3","A","other","other","course","mother",FALSE
"U","LE3","A","other","services","home","mother",TRUE
"U","GT3","T","health","services","reputation","mother",FALSE
"U","GT3","T","teacher","other","home","mother",FALSE
"U","GT3","T","services","teacher","other","father",FALSE
"U","LE3","T","services","services","course","mother",TRUE
"U","LE3","T","health","other","other","mother",FALSE
"U","LE3","A","health","health","other","father",TRUE
"U","GT3","T","services","services","course","mother",TRUE
"U","LE3","A","other","other","other","mother",TRUE
"U","GT3","A","other","other","other","mother",FALSE
"U","GT3","A","services","services","reputation","mother",FALSE
"U","GT3","T","teacher","health","reputation","mother",FALSE
"U","LE3","T","other","at_home","home","father",FALSE
"U","GT3","T","services","other","course","mother",FALSE
"R","GT3","T","health","teacher","other","mother",TRUE
"U","GT3","T","services","services","course","father",TRUE
"U","LE3","T","other","services","reputation","father",FALSE
"U","GT3","T","teacher","health","home","mother",TRUE
"U","LE3","T","services","services","reputation","father",TRUE
"U","LE3","T","teacher","services","course","mother",FALSE
"U","GT3","A","other","services","reputation","mother",TRUE
"U","GT3","T","services","other","course","mother",FALSE
"R","LE3","T","health","services","reputation","mother",FALSE
"R","LE3","T","other","other","reputation","father",TRUE
"U","GT3","T","other","other","reputation","father",FALSE
"U","GT3","T","other","other","course","mother",FALSE
"R","GT3","T","other","other","reputation","mother",TRUE
"U","GT3","T","other","other","reputation","mother",FALSE
"U","GT3","T","other","services","home","mother",TRUE
"U","GT3","T","teacher","other","home","mother",TRUE
"U","GT3","T","teacher","other","course","mother",FALSE
"U","GT3","T","other","other","reputation","mother",FALSE
"U","GT3","T","other","other","home","mother",FALSE
"U","GT3","T","other","other","home","mother",FALSE
"U","GT3","T","at_home","other","course","mother",FALSE
"U","GT3","T","other","services","course","father",FALSE
"U","GT3","T","other","other","home","mother",FALSE
"U","LE3","T","services","other","reputation","mother",FALSE
"U","LE3","T","services","services","home","mother",FALSE
"U","GT3","T","other","other","home","father",TRUE
"U","GT3","T","services","services","reputation","father",TRUE
"U","LE3","T","at_home","other","course","mother",FALSE
"U","GT3","T","other","other","reputation","mother",FALSE
"U","GT3","T","services","other","reputation","father",FALSE
"U","LE3","A","teacher","health","reputation","mother",TRUE
"U","GT3","T","other","other","home","mother",FALSE
"U","GT3","T","services","other","reputation","mother",FALSE
