"age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","health","absences","alc_use","G1","G2","G3"
18,4,4,2,2,0,4,3,4,3,5,1,2,8,8
17,1,1,1,2,0,5,3,3,3,3,1,7,8,8
15,1,1,1,2,2,4,3,2,3,8,2.5,10,10,11
15,4,2,1,3,0,3,2,2,5,1,1,14,14,14
16,3,3,1,2,0,4,3,2,5,2,1.5,8,12,12
16,4,3,1,2,0,5,4,2,5,8,1.5,14,14,14
16,2,2,1,2,0,4,4,4,3,0,1,12,12,12
17,4,4,2,2,0,4,1,4,1,4,1,8,9,10
15,3,2,1,2,0,4,2,2,1,0,1,16,17,18
15,3,4,1,2,0,5,5,1,5,0,1,13,14,14
15,4,4,1,2,0,3,3,3,2,1,1.5,12,11,12
15,2,1,3,3,0,5,2,2,4,2,1,10,12,12
15,4,4,1,1,0,4,3,3,5,1,2,13,14,13
15,4,3,2,2,0,5,4,3,3,1,1.5,11,11,12
15,2,2,1,3,0,4,5,2,3,0,1,14,15,16
16,4,4,1,1,0,4,4,4,2,5,1.5,16,16,16
16,4,4,1,3,0,3,2,3,2,8,1.5,13,14,14
16,3,3,3,2,0,5,3,2,4,3,1,10,12,12
17,3,2,1,1,3,5,5,5,5,9,3,7,6,6
16,4,3,1,1,0,3,1,3,5,5,2,10,11,11
15,4,3,1,2,0,4,4,1,1,0,1,12,14,14
15,4,4,1,1,0,5,4,2,5,0,1,12,14,14
16,4,2,1,2,0,4,5,1,5,1,2,14,14,15
16,2,2,2,2,0,5,4,4,5,1,3,12,12,11
15,2,4,1,3,0,4,3,2,5,2,1,10,10,9
16,2,2,1,1,1,1,2,2,5,10,2,8,10,10
15,2,2,1,1,0,4,2,2,5,5,1.5,12,12,12
15,4,2,1,1,0,2,2,4,1,2,3,13,14,13
16,3,4,1,2,0,5,3,3,5,3,1,12,12,12
16,4,4,1,2,0,4,4,5,5,10,5,11,12,12
15,4,4,1,2,0,5,4,2,5,0,3.5,10,11,12
15,4,4,2,2,0,4,3,1,5,1,1,16,16,16
15,4,3,1,2,0,4,5,2,5,0,1,15,15,16
15,3,3,1,2,0,5,3,2,2,0,1,10,11,12
