"sex","age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","health","absences","alc_use","Grade"
"F",18,4,4,2,2,0,4,3,4,3,5,1,6
"F",17,1,1,1,2,0,5,3,3,3,3,1,7.66666666666667
"F",15,1,1,1,2,2,4,3,2,3,8,2.5,10.3333333333333
"F",15,4,2,1,3,0,3,2,2,5,1,1,14
"F",16,3,3,1,2,0,4,3,2,5,2,1.5,10.6666666666667
"M",16,4,3,1,2,0,5,4,2,5,8,1.5,14
"M",16,2,2,1,2,0,4,4,4,3,0,1,12
"F",17,4,4,2,2,0,4,1,4,1,4,1,9
"M",15,3,2,1,2,0,4,2,2,1,0,1,17
"M",15,3,4,1,2,0,5,5,1,5,0,1,13.6666666666667
"F",15,4,4,1,2,0,3,3,3,2,1,1.5,11.6666666666667
"F",15,2,1,3,3,0,5,2,2,4,2,1,11.3333333333333
"M",15,4,4,1,1,0,4,3,3,5,1,2,13.3333333333333
"M",15,4,3,2,2,0,5,4,3,3,1,1.5,11.3333333333333
"M",15,2,2,1,3,0,4,5,2,3,0,1,15
"F",16,4,4,1,1,0,4,4,4,2,5,1.5,16
"F",16,4,4,1,3,0,3,2,3,2,8,1.5,13.6666666666667
"F",16,3,3,3,2,0,5,3,2,4,3,1,11.3333333333333
"M",17,3,2,1,1,3,5,5,5,5,9,3,6.33333333333333
"M",16,4,3,1,1,0,3,1,3,5,5,2,10.6666666666667
"M",15,4,3,1,2,0,4,4,1,1,0,1,13.3333333333333
"M",15,4,4,1,1,0,5,4,2,5,0,1,13.3333333333333
"M",16,4,2,1,2,0,4,5,1,5,1,2,14.3333333333333
"M",16,2,2,2,2,0,5,4,4,5,1,3,11.6666666666667
"F",15,2,4,1,3,0,4,3,2,5,2,1,9.66666666666667
"F",16,2,2,1,1,1,1,2,2,5,10,2,9.33333333333333
"M",15,2,2,1,1,0,4,2,2,5,5,1.5,12
"M",15,4,2,1,1,0,2,2,4,1,2,3,13.3333333333333
"M",16,3,4,1,2,0,5,3,3,5,3,1,12
